,quadrat,x,y
343,1123,11,23
344,1124,11,24
345,1125,11,25
346,1126,11,26
347,1127,11,27
348,1128,11,28
349,1129,11,29
350,1130,11,30
351,1131,11,31
352,1132,11,32
353,1201,12,1
354,1202,12,2
355,1203,12,3
356,1204,12,4
357,1205,12,5
358,1206,12,6
359,1207,12,7
360,1208,12,8
361,1209,12,9
362,1210,12,10
363,1211,12,11
364,1212,12,12
365,1213,12,13
366,1214,12,14
367,1215,12,15
368,1216,12,16
369,1217,12,17
370,1218,12,18
371,1219,12,19
372,1220,12,20
373,1221,12,21
374,1222,12,22
375,1223,12,23
376,1224,12,24
377,1225,12,25
378,1226,12,26
379,1227,12,27
380,1228,12,28
381,1229,12,29
382,1230,12,30
383,1231,12,31
384,1232,12,32
385,1301,13,1
386,1302,13,2
387,1303,13,3
388,1304,13,4
389,1305,13,5
390,1306,13,6
391,1307,13,7
392,1308,13,8
393,1309,13,9
394,1310,13,10
395,1311,13,11
396,1312,13,12
397,1313,13,13
398,1314,13,14
399,1315,13,15
400,1316,13,16
401,1317,13,17
402,1318,13,18
403,1319,13,19
404,1320,13,20
405,1321,13,21
406,1322,13,22
407,1323,13,23
408,1324,13,24
409,1325,13,25
410,1326,13,26
411,1327,13,27
412,1328,13,28
413,1329,13,29
414,1330,13,30
415,1331,13,31
416,1332,13,32
417,1401,14,1
418,1402,14,2
419,1403,14,3
420,1404,14,4
421,1405,14,5
422,1406,14,6
423,1407,14,7
424,1408,14,8
425,1409,14,9
426,1410,14,10
427,1411,14,11
428,1412,14,12
429,1413,14,13
430,1414,14,14
431,1415,14,15
432,1416,14,16
433,1417,14,17
434,1418,14,18
435,1419,14,19
436,1420,14,20
437,1421,14,21
438,1422,14,22
439,1423,14,23
440,1424,14,24
441,1425,14,25
442,1426,14,26
443,1427,14,27
444,1428,14,28
445,1429,14,29
446,1430,14,30
447,1431,14,31
448,1432,14,32
449,1501,15,1
450,1502,15,2
451,1503,15,3
452,1504,15,4
453,1505,15,5
454,1506,15,6
455,1507,15,7
456,1508,15,8
457,1509,15,9
458,1510,15,10
459,1511,15,11
460,1512,15,12
461,1513,15,13
462,1514,15,14
463,1515,15,15
464,1516,15,16
465,1517,15,17
466,1518,15,18
467,1519,15,19
468,1520,15,20
469,1521,15,21
470,1522,15,22
471,1523,15,23
472,1524,15,24
473,1525,15,25
474,1526,15,26
475,1527,15,27
476,1528,15,28
477,1529,15,29
478,1530,15,30
479,1531,15,31
480,1532,15,32
481,1601,16,1
482,1602,16,2
483,1603,16,3
484,1604,16,4
485,1605,16,5
486,1606,16,6
487,1607,16,7
488,1608,16,8
489,1609,16,9
490,1610,16,10
491,1611,16,11
492,1612,16,12
493,1613,16,13
494,1614,16,14
495,1615,16,15
496,1616,16,16
497,1617,16,17
498,1618,16,18
499,1619,16,19
500,1620,16,20
501,1621,16,21
502,1622,16,22
503,1623,16,23
504,1624,16,24
505,1625,16,25
506,1626,16,26
507,1627,16,27
508,1628,16,28
509,1629,16,29
510,1630,16,30
511,1631,16,31
512,1632,16,32
513,1701,17,1
514,1702,17,2
515,1703,17,3
516,1704,17,4
517,1705,17,5
518,1706,17,6
519,1707,17,7
520,1708,17,8
521,1709,17,9
522,1710,17,10
523,1711,17,11
524,1712,17,12
525,1713,17,13
526,1714,17,14
527,1715,17,15
528,1716,17,16
529,1717,17,17
530,1718,17,18
531,1719,17,19
532,1720,17,20
533,1721,17,21
534,1722,17,22
535,1723,17,23
536,1724,17,24
537,1725,17,25
538,1726,17,26
539,1727,17,27
540,1728,17,28
541,1729,17,29
542,1730,17,30
543,1731,17,31
544,1732,17,32
545,1801,18,1
546,1802,18,2
